speed-factor,time,e
1.0,2.63,0.943852
1.1,3.01,0.953989
1.2,3.38,0.961433
1.3,3.72,0.966789
1.4,4.11,0.971665
1.5,4.47,0.975271
1.6,4.83,0.978231
1.7,5.23,0.980936
1.8,5.59,0.982962
1.9,5.93,0.984593
2.0,6.28,0.986039
2.1,6.66,0.98739
2.2,7.03,0.988525
2.3,7.41,0.989538
2.4,7.76,0.990358
2.5,8.12,0.991104
2.6,8.49,0.991784
2.7,8.88,0.99242
2.8,9.21,0.992902
2.9,9.56,0.993365
3.0,9.94,0.993818
3.1,10.28,0.994185
3.2,10.67,0.994567
3.3,11.03,0.994887
3.4,11.39,0.99518
3.5,11.75,0.995448
3.6,12.14,0.995714
3.7,12.52,0.995952
3.8,12.86,0.996148
3.9,13.21,0.996336
4.0,13.58,0.996519
4.1,13.97,0.996698
4.2,14.34,0.996856
4.3,14.71,0.997002
4.4,15.06,0.997131
4.5,15.43,0.997259
4.6,15.8,0.997378
4.7,16.15,0.997484
4.8,16.51,0.997587
4.9,16.86,0.99768
5.0,17.23,0.997774
5.1,17.62,0.997866
5.2,17.98,0.997946
5.3,18.35,0.998024
5.4,18.7,0.998093
5.5,19.05,0.998159
5.6,19.45,0.998231
5.7,19.8,0.99829
5.8,20.15,0.998346
5.9,20.51,0.998401
6.0,20.88,0.998454
6.1,21.25,0.998505
6.2,21.62,0.998554
6.3,21.98,0.998599
6.4,22.35,0.998643
6.5,22.71,0.998684
6.6,23.06,0.998722
6.7,23.45,0.998762
6.8,23.81,0.998798
6.9,24.16,0.998831
7.0,24.55,0.998867
7.1,24.93,0.998899
7.2,25.28,0.998929
7.3,25.64,0.998957
7.4,25.98,0.998983
7.5,26.38,0.999013
7.6,26.74,0.999038
7.7,27.09,0.999062
7.8,27.45,0.999086
7.9,27.82,0.999109
8.0,28.2,0.999132
8.1,28.56,0.999153
8.2,28.93,0.999174
8.3,29.27,0.999192
8.4,29.65,0.999212
8.5,30.0,0.99923
8.6,30.37,0.999248
8.7,30.71,0.999264
8.8,31.11,0.999282
8.9,31.48,0.999299
9.0,31.83,0.999313
9.1,32.19,0.999328
9.2,32.55,0.999343
9.3,32.91,0.999357
9.4,33.32,0.999372
9.5,33.67,0.999384
9.6,34.04,0.999397
9.7,34.38,0.999409
9.8,34.76,0.999421
9.9,35.14,0.999433
10.0,35.48,0.999444
