time,speed-factor,q,e_zmp,e_ee
2.63,1.0,0.526447,0.557764,0.943852
3.01,1.1,0.532281,0.557953,0.953989
3.38,1.2,0.536434,0.557953,0.961433
3.72,1.3,0.539423,0.557953,0.966789
4.11,1.4,0.542143,0.557953,0.971665
4.47,1.5,0.544155,0.557953,0.975271
4.83,1.6,0.545988,0.558138,0.978231
5.23,1.7,0.547498,0.558138,0.980936
5.59,1.8,0.548628,0.558138,0.982962
5.93,1.9,0.549539,0.558138,0.984593
6.28,2.0,0.550523,0.558318,0.986039
6.66,2.1,0.551278,0.558318,0.98739
7.03,2.2,0.551911,0.558318,0.988525
7.41,2.3,0.552477,0.558318,0.989538
7.76,2.4,0.552935,0.558318,0.990358
8.12,2.5,0.553526,0.558494,0.991104
8.49,2.6,0.553905,0.558494,0.991784
8.88,2.7,0.554261,0.558494,0.99242
9.21,2.8,0.55453,0.558494,0.992902
9.56,2.9,0.554959,0.558666,0.993365
9.94,3.0,0.555212,0.558666,0.993818
10.28,3.1,0.555417,0.558666,0.994185
10.67,3.2,0.555631,0.558666,0.994567
11.03,3.3,0.555976,0.558833,0.994887
11.39,3.4,0.556139,0.558833,0.99518
11.75,3.5,0.556289,0.558833,0.995448
12.14,3.6,0.556438,0.558833,0.995714
12.52,3.7,0.556571,0.558833,0.995952
12.86,3.8,0.556843,0.558996,0.996148
13.21,3.9,0.556948,0.558996,0.996336
13.58,4.0,0.55705,0.558996,0.996519
13.97,4.1,0.55715,0.558996,0.996698
14.34,4.2,0.557393,0.559151,0.996856
14.71,4.3,0.557475,0.559151,0.997002
15.06,4.4,0.557547,0.559151,0.997131
15.43,4.5,0.557618,0.559151,0.997259
15.8,4.6,0.557836,0.559302,0.997378
16.15,4.7,0.557895,0.559302,0.997484
16.51,4.8,0.557952,0.559302,0.997587
16.86,4.9,0.558004,0.559302,0.99768
17.23,5.0,0.558057,0.559302,0.997774
17.62,5.1,0.558255,0.559449,0.997866
17.98,5.2,0.5583,0.559449,0.997946
18.35,5.3,0.558344,0.559449,0.998024
18.7,5.4,0.558382,0.559449,0.998093
19.05,5.5,0.558564,0.559594,0.998159
19.45,5.6,0.558604,0.559594,0.998231
19.8,5.7,0.558637,0.559594,0.99829
20.15,5.8,0.558668,0.559594,0.998346
20.51,5.9,0.558839,0.559734,0.998401
20.88,6.0,0.558869,0.559734,0.998454
21.25,6.1,0.558897,0.559734,0.998505
21.62,6.2,0.558925,0.559734,0.998554
21.98,6.3,0.55895,0.559734,0.998599
22.35,6.4,0.559112,0.559872,0.998643
22.71,6.5,0.559135,0.559872,0.998684
23.06,6.6,0.559156,0.559872,0.998722
23.45,6.7,0.559179,0.559872,0.998762
23.81,6.8,0.559333,0.560006,0.998798
24.16,6.9,0.559351,0.560006,0.998831
24.55,7.0,0.559372,0.560006,0.998867
24.93,7.1,0.559389,0.560006,0.998899
25.28,7.2,0.559406,0.560006,0.998929
25.64,7.3,0.559553,0.560137,0.998957
25.98,7.4,0.559567,0.560137,0.998983
26.38,7.5,0.559584,0.560137,0.999013
26.74,7.6,0.559598,0.560137,0.999038
27.09,7.7,0.559736,0.560262,0.999062
27.45,7.8,0.55975,0.560262,0.999086
27.82,7.9,0.559763,0.560262,0.999109
28.2,8.0,0.559776,0.560262,0.999132
28.56,8.1,0.559909,0.560384,0.999153
28.93,8.2,0.559921,0.560384,0.999174
29.27,8.3,0.559931,0.560384,0.999192
29.65,8.4,0.559942,0.560384,0.999212
30.0,8.5,0.559953,0.560384,0.99923
30.37,8.6,0.560082,0.560503,0.999248
30.71,8.7,0.56009,0.560503,0.999264
31.11,8.8,0.560101,0.560503,0.999282
31.48,8.9,0.56011,0.560503,0.999299
31.83,9.0,0.560235,0.56062,0.999313
32.19,9.1,0.560243,0.56062,0.999328
32.55,9.2,0.560252,0.56062,0.999343
32.91,9.3,0.56026,0.56062,0.999357
33.32,9.4,0.560382,0.560734,0.999372
33.67,9.5,0.560389,0.560734,0.999384
34.04,9.6,0.560396,0.560734,0.999397
34.38,9.7,0.560403,0.560734,0.999409
34.76,9.8,0.560409,0.560734,0.999421
35.14,9.9,0.560527,0.560845,0.999433
35.48,10.0,0.560533,0.560845,0.999444
