time,speed-factor,q,e_zmp,e_ee
2.63,1.0,0.0,0.557764,0.943852
3.01,1.1,0.171155,0.557953,0.953989
3.38,1.2,0.292994,0.557953,0.961433
3.72,1.3,0.380684,0.557953,0.966789
4.11,1.4,0.460482,0.557953,0.971665
4.47,1.5,0.519509,0.557953,0.975271
4.83,1.6,0.573285,0.558138,0.978231
5.23,1.7,0.617585,0.558138,0.980936
5.59,1.8,0.650736,0.558138,0.982962
5.93,1.9,0.677463,0.558138,0.984593
6.28,2.0,0.706331,0.558318,0.986039
6.66,2.1,0.728481,0.558318,0.98739
7.03,2.2,0.747052,0.558318,0.988525
7.41,2.3,0.763657,0.558318,0.989538
7.76,2.4,0.777093,0.558318,0.990358
8.12,2.5,0.794432,0.558494,0.991104
8.49,2.6,0.805551,0.558494,0.991784
8.88,2.7,0.815995,0.558494,0.99242
9.21,2.8,0.823887,0.558494,0.992902
9.56,2.9,0.836472,0.558666,0.993365
9.94,3.0,0.843895,0.558666,0.993818
10.28,3.1,0.849909,0.558666,0.994185
10.67,3.2,0.856187,0.558666,0.994567
11.03,3.3,0.866309,0.558833,0.994887
11.39,3.4,0.871091,0.558833,0.99518
11.75,3.5,0.875491,0.558833,0.995448
12.14,3.6,0.879863,0.558833,0.995714
12.52,3.7,0.883765,0.558833,0.995952
12.86,3.8,0.891744,0.558996,0.996148
13.21,3.9,0.894825,0.558996,0.996336
13.58,4.0,0.897817,0.558996,0.996519
13.97,4.1,0.900751,0.558996,0.996698
14.34,4.2,0.90788,0.559151,0.996856
14.71,4.3,0.910286,0.559151,0.997002
15.06,4.4,0.912398,0.559151,0.997131
15.43,4.5,0.914481,0.559151,0.997259
15.8,4.6,0.920877,0.559302,0.997378
16.15,4.7,0.922608,0.559302,0.997484
16.51,4.8,0.92428,0.559302,0.997587
16.86,4.9,0.925805,0.559302,0.99768
17.23,5.0,0.92736,0.559302,0.997774
17.62,5.1,0.933169,0.559449,0.997866
17.98,5.2,0.934489,0.559449,0.997946
18.35,5.3,0.93578,0.559449,0.998024
18.7,5.4,0.936895,0.559449,0.998093
19.05,5.5,0.942234,0.559594,0.998159
19.45,5.6,0.943408,0.559594,0.998231
19.8,5.7,0.944376,0.559594,0.99829
20.15,5.8,0.945285,0.559594,0.998346
20.51,5.9,0.950302,0.559734,0.998401
20.88,6.0,0.951182,0.559734,0.998454
21.25,6.1,0.952004,0.559734,0.998505
21.62,6.2,0.952825,0.559734,0.998554
21.98,6.3,0.953559,0.559734,0.998599
22.35,6.4,0.958311,0.559872,0.998643
22.71,6.5,0.958986,0.559872,0.998684
23.06,6.6,0.959602,0.559872,0.998722
23.45,6.7,0.960277,0.559872,0.998762
23.81,6.8,0.964795,0.560006,0.998798
24.16,6.9,0.965323,0.560006,0.998831
24.55,7.0,0.965939,0.560006,0.998867
24.93,7.1,0.966438,0.560006,0.998899
25.28,7.2,0.966937,0.560006,0.998929
25.64,7.3,0.971249,0.560137,0.998957
25.98,7.4,0.97166,0.560137,0.998983
26.38,7.5,0.972159,0.560137,0.999013
26.74,7.6,0.972569,0.560137,0.999038
27.09,7.7,0.976618,0.560262,0.999062
27.45,7.8,0.977029,0.560262,0.999086
27.82,7.9,0.97741,0.560262,0.999109
28.2,8.0,0.977791,0.560262,0.999132
28.56,8.1,0.981693,0.560384,0.999153
28.93,8.2,0.982045,0.560384,0.999174
29.27,8.3,0.982339,0.560384,0.999192
29.65,8.4,0.982662,0.560384,0.999212
30.0,8.5,0.982984,0.560384,0.99923
30.37,8.6,0.986769,0.560503,0.999248
30.71,8.7,0.987003,0.560503,0.999264
31.11,8.8,0.987326,0.560503,0.999282
31.48,8.9,0.98759,0.560503,0.999299
31.83,9.0,0.991257,0.56062,0.999313
32.19,9.1,0.991492,0.56062,0.999328
32.55,9.2,0.991756,0.56062,0.999343
32.91,9.3,0.991991,0.56062,0.999357
33.32,9.4,0.99557,0.560734,0.999372
33.67,9.5,0.995775,0.560734,0.999384
34.04,9.6,0.995981,0.560734,0.999397
34.38,9.7,0.996186,0.560734,0.999409
34.76,9.8,0.996362,0.560734,0.999421
35.14,9.9,0.999824,0.560845,0.999433
35.48,10.0,1.0,0.560845,0.999444
