speed-factor,time,max-zmp-distance,min-zmp-distance,e
1.0,2.4194,101.417,56.5664,0.557764
1.1,2.66134,101.417,56.5856,0.557953
1.2,2.90328,101.417,56.5856,0.557953
1.3,3.14522,101.417,56.5856,0.557953
1.4,3.38716,101.417,56.5856,0.557953
1.5,3.6291,101.417,56.5856,0.557953
1.6,3.87104,101.417,56.6044,0.558138
1.7,4.11298,101.417,56.6044,0.558138
1.8,4.35492,101.417,56.6044,0.558138
1.9,4.59686,101.417,56.6044,0.558138
2.0,4.8388,101.417,56.6227,0.558318
2.1,5.08074,101.417,56.6227,0.558318
2.2,5.32268,101.417,56.6227,0.558318
2.3,5.56462,101.417,56.6227,0.558318
2.4,5.80656,101.417,56.6227,0.558318
2.5,6.0485,101.417,56.6405,0.558494
2.6,6.29044,101.417,56.6405,0.558494
2.7,6.53238,101.417,56.6405,0.558494
2.8,6.77432,101.417,56.6405,0.558494
2.9,7.01626,101.417,56.6579,0.558666
3.0,7.2582,101.417,56.6579,0.558666
3.1,7.50014,101.417,56.6579,0.558666
3.2,7.74208,101.417,56.6579,0.558666
3.3,7.98402,101.417,56.6749,0.558833
3.4,8.22596,101.417,56.6749,0.558833
3.5,8.4679,101.417,56.6749,0.558833
3.6,8.70984,101.417,56.6749,0.558833
3.7,8.95178,101.417,56.6749,0.558833
3.8,9.19372,101.417,56.6914,0.558996
3.9,9.43566,101.417,56.6914,0.558996
4.0,9.6776,101.417,56.6914,0.558996
4.1,9.91954,101.417,56.6914,0.558996
4.2,10.1615,101.417,56.7071,0.559151
4.3,10.4034,101.417,56.7071,0.559151
4.4,10.6454,101.417,56.7071,0.559151
4.5,10.8873,101.417,56.7071,0.559151
4.6,11.1292,101.417,56.7224,0.559302
4.7,11.3712,101.417,56.7224,0.559302
4.8,11.6131,101.417,56.7224,0.559302
4.9,11.8551,101.417,56.7224,0.559302
5.0,12.097,101.417,56.7224,0.559302
5.1,12.3389,101.417,56.7374,0.559449
5.2,12.5809,101.417,56.7374,0.559449
5.3,12.8228,101.417,56.7374,0.559449
5.4,13.0648,101.417,56.7374,0.559449
5.5,13.3067,101.417,56.752,0.559594
5.6,13.5486,101.417,56.752,0.559594
5.7,13.7906,101.417,56.752,0.559594
5.8,14.0325,101.417,56.752,0.559594
5.9,14.2745,101.417,56.7663,0.559734
6.0,14.5164,101.417,56.7663,0.559734
6.1,14.7583,101.417,56.7663,0.559734
6.2,15.0003,101.417,56.7663,0.559734
6.3,15.2422,101.417,56.7663,0.559734
6.4,15.4842,101.417,56.7802,0.559872
6.5,15.7261,101.417,56.7802,0.559872
6.6,15.968,101.417,56.7802,0.559872
6.7,16.21,101.417,56.7802,0.559872
6.8,16.4519,101.417,56.7939,0.560006
6.9,16.6939,101.417,56.7939,0.560006
7.0,16.9358,101.417,56.7939,0.560006
7.1,17.1777,101.417,56.7939,0.560006
7.2,17.4197,101.417,56.7939,0.560006
7.3,17.6616,101.417,56.8071,0.560137
7.4,17.9036,101.417,56.8071,0.560137
7.5,18.1455,101.417,56.8071,0.560137
7.6,18.3874,101.417,56.8071,0.560137
7.7,18.6294,101.417,56.8198,0.560262
7.8,18.8713,101.417,56.8198,0.560262
7.9,19.1133,101.417,56.8198,0.560262
8.0,19.3552,101.417,56.8198,0.560262
8.1,19.5971,101.417,56.8321,0.560384
8.2,19.8391,101.417,56.8321,0.560384
8.3,20.081,101.417,56.8321,0.560384
8.4,20.323,101.417,56.8321,0.560384
8.5,20.5649,101.417,56.8321,0.560384
8.6,20.8069,101.417,56.8442,0.560503
8.7,21.0488,101.417,56.8442,0.560503
8.8,21.2907,101.417,56.8442,0.560503
8.9,21.5327,101.417,56.8442,0.560503
9.0,21.7746,101.417,56.8561,0.56062
9.1,22.0166,101.417,56.8561,0.56062
9.2,22.2585,101.417,56.8561,0.56062
9.3,22.5004,101.417,56.8561,0.56062
9.4,22.7424,101.417,56.8677,0.560734
9.5,22.9843,101.417,56.8677,0.560734
9.6,23.2263,101.417,56.8677,0.560734
9.7,23.4682,101.417,56.8677,0.560734
9.8,23.7101,101.417,56.8677,0.560734
9.9,23.9521,101.417,56.879,0.560845
10.0,24.194,101.417,56.879,0.560845
