time,speed-factor,q,e_zmp,e_ee
1.61,1.0,0.525917,0.631015,0.833446
1.87,1.1,0.544476,0.631455,0.862256
2.12,1.2,0.558237,0.631886,0.883446
2.39,1.3,0.569881,0.632307,0.901272
2.64,1.4,0.578537,0.632718,0.914368
2.93,1.5,0.586612,0.633121,0.92654
3.18,1.6,0.592372,0.63351,0.935064
3.44,1.7,0.5974,0.633883,0.942446
3.71,1.8,0.601811,0.634249,0.948856
3.97,1.9,0.605457,0.634606,0.954067
4.22,2.0,0.608518,0.634957,0.958361
4.47,2.1,0.611208,0.635299,0.96208
4.76,2.2,0.613898,0.635635,0.965802
5.01,2.3,0.615668,0.635635,0.968588
5.27,2.4,0.617605,0.635959,0.971139
5.53,2.5,0.619342,0.636272,0.973392
5.8,2.6,0.620958,0.636578,0.975463
6.05,2.7,0.622339,0.636878,0.977172
6.33,2.8,0.623717,0.637172,0.978883
6.55,2.9,0.624772,0.63746,0.980096
6.84,3.0,0.62597,0.637742,0.981541
7.1,3.1,0.626984,0.638017,0.982707
7.35,3.2,0.627894,0.638281,0.983727
7.61,3.3,0.628766,0.638539,0.984695
7.9,3.4,0.629643,0.638793,0.985676
8.13,3.5,0.630344,0.639042,0.986389
8.4,3.6,0.631077,0.639286,0.987159
8.67,3.7,0.631529,0.639286,0.987866
8.9,3.8,0.632122,0.639525,0.988424
9.17,3.9,0.632741,0.639759,0.98903
9.45,4.0,0.633337,0.639986,0.98961
9.69,4.1,0.633849,0.640206,0.990071
9.96,4.2,0.634373,0.640422,0.990555
10.24,4.3,0.63488,0.640634,0.991019
10.47,4.4,0.635315,0.640842,0.991376
10.77,4.5,0.635796,0.641046,0.99181
11.04,4.6,0.636228,0.641247,0.992173
11.28,4.7,0.636617,0.641443,0.992476
11.55,4.8,0.637012,0.641634,0.992796
11.8,4.9,0.637374,0.641819,0.993075
12.07,5.0,0.637737,0.642001,0.993358
12.33,5.1,0.638079,0.642179,0.993615
12.55,5.2,0.63821,0.642179,0.99382
12.84,5.3,0.63855,0.642355,0.994077
13.1,5.4,0.63886,0.642527,0.994293
13.35,5.5,0.639155,0.642696,0.99449
13.65,5.6,0.639465,0.642863,0.994714
13.86,5.7,0.639721,0.643025,0.994862
14.16,5.8,0.640007,0.643182,0.995063
14.42,5.9,0.640266,0.643336,0.995228
14.65,6.0,0.640507,0.643488,0.995368
14.92,6.1,0.640755,0.643637,0.995523
15.19,6.2,0.640996,0.643783,0.995671
15.44,6.3,0.641224,0.643927,0.995802
15.72,6.4,0.641455,0.644069,0.995941
15.97,6.5,0.64167,0.644208,0.99606
16.24,6.6,0.641884,0.644343,0.996183
16.5,6.7,0.641956,0.644343,0.996295
16.76,6.8,0.642157,0.644475,0.996403
17.02,6.9,0.642353,0.644605,0.996506
17.27,7.0,0.642541,0.644732,0.996601
17.53,7.1,0.642727,0.644858,0.996696
17.82,7.2,0.642915,0.644981,0.996797
18.06,7.3,0.643088,0.645103,0.996877
18.31,7.4,0.643259,0.645222,0.996957
18.62,7.5,0.643437,0.645339,0.997053
18.85,7.6,0.643595,0.645454,0.99712
19.1,7.7,0.643753,0.645566,0.997192
19.39,7.8,0.643913,0.645675,0.997271
19.62,7.9,0.64406,0.645783,0.997332
19.91,8.0,0.644214,0.64589,0.997405
20.18,8.1,0.64436,0.645994,0.997471
20.41,8.2,0.644395,0.645994,0.997525
20.68,8.3,0.644537,0.646097,0.997586
20.93,8.4,0.644675,0.646199,0.997641
21.19,8.5,0.644809,0.646298,0.997696
21.45,8.6,0.644942,0.646397,0.997749
21.73,8.7,0.645072,0.646492,0.997804
21.97,8.8,0.645196,0.646586,0.99785
22.24,8.9,0.645319,0.646678,0.997899
22.52,9.0,0.645442,0.646769,0.997949
22.78,9.1,0.64556,0.646858,0.997994
23.0,9.2,0.645672,0.646946,0.99803
23.29,9.3,0.645789,0.647033,0.998077
23.54,9.4,0.645899,0.647118,0.998116
23.81,9.5,0.646009,0.647202,0.998157
24.05,9.6,0.646032,0.647202,0.998192
24.32,9.7,0.646139,0.647285,0.99823
24.6,9.8,0.646245,0.647366,0.998269
24.84,9.9,0.646346,0.647446,0.998301
25.12,10.0,0.646446,0.647523,0.998337
