time,speed-factor,q,e_zmp,e_ee
1.61,1.0,0.0,0.631015,0.833446
1.87,1.1,0.15398,0.631455,0.862256
2.12,1.2,0.268151,0.631886,0.883446
2.39,1.3,0.364759,0.632307,0.901272
2.64,1.4,0.436575,0.632718,0.914368
2.93,1.5,0.503572,0.633121,0.92654
3.18,1.6,0.551361,0.63351,0.935064
3.44,1.7,0.593077,0.633883,0.942446
3.71,1.8,0.629674,0.634249,0.948856
3.97,1.9,0.659924,0.634606,0.954067
4.22,2.0,0.685321,0.634957,0.958361
4.47,2.1,0.707639,0.635299,0.96208
4.76,2.2,0.729957,0.635635,0.965802
5.01,2.3,0.744642,0.635635,0.968588
5.27,2.4,0.760713,0.635959,0.971139
5.53,2.5,0.775125,0.636272,0.973392
5.8,2.6,0.788532,0.636578,0.975463
6.05,2.7,0.79999,0.636878,0.977172
6.33,2.8,0.811423,0.637172,0.978883
6.55,2.9,0.820176,0.63746,0.980096
6.84,3.0,0.830116,0.637742,0.981541
7.1,3.1,0.838528,0.638017,0.982707
7.35,3.2,0.846079,0.638281,0.983727
7.61,3.3,0.853313,0.638539,0.984695
7.9,3.4,0.86059,0.638793,0.985676
8.13,3.5,0.866406,0.639042,0.986389
8.4,3.6,0.872487,0.639286,0.987159
8.67,3.7,0.876237,0.639286,0.987866
8.9,3.8,0.881157,0.639525,0.988424
9.17,3.9,0.886293,0.639759,0.98903
9.45,4.0,0.891238,0.639986,0.98961
9.69,4.1,0.895486,0.640206,0.990071
9.96,4.2,0.899833,0.640422,0.990555
10.24,4.3,0.90404,0.640634,0.991019
10.47,4.4,0.907649,0.640842,0.991376
10.77,4.5,0.91164,0.641046,0.99181
11.04,4.6,0.915224,0.641247,0.992173
11.28,4.7,0.918451,0.641443,0.992476
11.55,4.8,0.921728,0.641634,0.992796
11.8,4.9,0.924732,0.641819,0.993075
12.07,5.0,0.927744,0.642001,0.993358
12.33,5.1,0.930581,0.642179,0.993615
12.55,5.2,0.931668,0.642179,0.99382
12.84,5.3,0.934489,0.642355,0.994077
13.1,5.4,0.937061,0.642527,0.994293
13.35,5.5,0.939508,0.642696,0.99449
13.65,5.6,0.94208,0.642863,0.994714
13.86,5.7,0.944204,0.643025,0.994862
14.16,5.8,0.946577,0.643182,0.995063
14.42,5.9,0.948726,0.643336,0.995228
14.65,6.0,0.950726,0.643488,0.995368
14.92,6.1,0.952783,0.643637,0.995523
15.19,6.2,0.954783,0.643783,0.995671
15.44,6.3,0.956674,0.643927,0.995802
15.72,6.4,0.958591,0.644069,0.995941
15.97,6.5,0.960375,0.644208,0.99606
16.24,6.6,0.96215,0.644343,0.996183
16.5,6.7,0.962748,0.644343,0.996295
16.76,6.8,0.964415,0.644475,0.996403
17.02,6.9,0.966041,0.644605,0.996506
17.27,7.0,0.967601,0.644732,0.996601
17.53,7.1,0.969144,0.644858,0.996696
17.82,7.2,0.970704,0.644981,0.996797
18.06,7.3,0.972139,0.645103,0.996877
18.31,7.4,0.973558,0.645222,0.996957
18.62,7.5,0.975035,0.645339,0.997053
18.85,7.6,0.976346,0.645454,0.99712
19.1,7.7,0.977657,0.645566,0.997192
19.39,7.8,0.978984,0.645675,0.997271
19.62,7.9,0.980204,0.645783,0.997332
19.91,8.0,0.981482,0.64589,0.997405
20.18,8.1,0.982693,0.645994,0.997471
20.41,8.2,0.982983,0.645994,0.997525
20.68,8.3,0.984161,0.646097,0.997586
20.93,8.4,0.985306,0.646199,0.997641
21.19,8.5,0.986418,0.646298,0.997696
21.45,8.6,0.987522,0.646397,0.997749
21.73,8.7,0.9886,0.646492,0.997804
21.97,8.8,0.989629,0.646586,0.99785
22.24,8.9,0.99065,0.646678,0.997899
22.52,9.0,0.99167,0.646769,0.997949
22.78,9.1,0.992649,0.646858,0.997994
23.0,9.2,0.993578,0.646946,0.99803
23.29,9.3,0.994549,0.647033,0.998077
23.54,9.4,0.995462,0.647118,0.998116
23.81,9.5,0.996374,0.647202,0.998157
24.05,9.6,0.996565,0.647202,0.998192
24.32,9.7,0.997453,0.647285,0.99823
24.6,9.8,0.998332,0.647366,0.998269
24.84,9.9,0.99917,0.647446,0.998301
25.12,10.0,1.0,0.647523,0.998337
