speed-factor,time,max-zmp-distance,min-zmp-distance,e
1.0,2.39327,101.417,63.9953,0.631015
1.1,2.6326,101.417,64.04,0.631455
1.2,2.87193,101.417,64.0837,0.631886
1.3,3.11126,101.417,64.1264,0.632307
1.4,3.35058,101.417,64.1681,0.632718
1.5,3.58991,101.417,64.2089,0.633121
1.6,3.82924,101.417,64.2483,0.63351
1.7,4.06857,101.417,64.2862,0.633883
1.8,4.30789,101.417,64.3233,0.634249
1.9,4.54722,101.417,64.3596,0.634606
2.0,4.78655,101.417,64.3951,0.634957
2.1,5.02588,101.417,64.4298,0.635299
2.2,5.2652,101.417,64.4638,0.635635
2.3,5.50453,101.417,64.4638,0.635635
2.4,5.74386,101.417,64.4967,0.635959
2.5,5.98319,101.417,64.5284,0.636272
2.6,6.22251,101.417,64.5595,0.636578
2.7,6.46184,101.417,64.5899,0.636878
2.8,6.70117,101.417,64.6197,0.637172
2.9,6.9405,101.417,64.6489,0.63746
3.0,7.17982,101.417,64.6775,0.637742
3.1,7.41915,101.417,64.7055,0.638017
3.2,7.65848,101.417,64.7322,0.638281
3.3,7.89781,101.417,64.7584,0.638539
3.4,8.13713,101.417,64.7842,0.638793
3.5,8.37646,101.417,64.8094,0.639042
3.6,8.61579,101.417,64.8341,0.639286
3.7,8.85512,101.417,64.8341,0.639286
3.8,9.09444,101.417,64.8584,0.639525
3.9,9.33377,101.417,64.8821,0.639759
4.0,9.5731,101.417,64.9051,0.639986
4.1,9.81243,101.417,64.9275,0.640206
4.2,10.0518,101.417,64.9494,0.640422
4.3,10.2911,101.417,64.9709,0.640634
4.4,10.5304,101.417,64.992,0.640842
4.5,10.7697,101.417,65.0127,0.641046
4.6,11.0091,101.417,65.033,0.641247
4.7,11.2484,101.417,65.0529,0.641443
4.8,11.4877,101.417,65.0722,0.641634
4.9,11.727,101.417,65.091,0.641819
5.0,11.9664,101.417,65.1095,0.642001
5.1,12.2057,101.417,65.1276,0.642179
5.2,12.445,101.417,65.1276,0.642179
5.3,12.6844,101.417,65.1454,0.642355
5.4,12.9237,101.417,65.1629,0.642527
5.5,13.163,101.417,65.18,0.642696
5.6,13.4023,101.417,65.1969,0.642863
5.7,13.6417,101.417,65.2133,0.643025
5.8,13.881,101.417,65.2293,0.643182
5.9,14.1203,101.417,65.2449,0.643336
6.0,14.3596,101.417,65.2603,0.643488
6.1,14.599,101.417,65.2754,0.643637
6.2,14.8383,101.417,65.2903,0.643783
6.3,15.0776,101.417,65.3049,0.643927
6.4,15.317,101.417,65.3192,0.644069
6.5,15.5563,101.417,65.3333,0.644208
6.6,15.7956,101.417,65.3471,0.644343
6.7,16.0349,101.417,65.3471,0.644343
6.8,16.2743,101.417,65.3604,0.644475
6.9,16.5136,101.417,65.3736,0.644605
7.0,16.7529,101.417,65.3865,0.644732
7.1,16.9923,101.417,65.3992,0.644858
7.2,17.2316,101.417,65.4117,0.644981
7.3,17.4709,101.417,65.424,0.645103
7.4,17.7102,101.417,65.4362,0.645222
7.5,17.9496,101.417,65.4481,0.645339
7.6,18.1889,101.417,65.4597,0.645454
7.7,18.4282,101.417,65.471,0.645566
7.8,18.6675,101.417,65.4821,0.645675
7.9,18.9069,101.417,65.4931,0.645783
8.0,19.1462,101.417,65.5039,0.64589
8.1,19.3855,101.417,65.5145,0.645994
8.2,19.6249,101.417,65.5145,0.645994
8.3,19.8642,101.417,65.5249,0.646097
8.4,20.1035,101.417,65.5352,0.646199
8.5,20.3428,101.417,65.5453,0.646298
8.6,20.5822,101.417,65.5553,0.646397
8.7,20.8215,101.417,65.565,0.646492
8.8,21.0608,101.417,65.5745,0.646586
8.9,21.3001,101.417,65.5838,0.646678
9.0,21.5395,101.417,65.593,0.646769
9.1,21.7788,101.417,65.6021,0.646858
9.2,22.0181,101.417,65.611,0.646946
9.3,22.2575,101.417,65.6198,0.647033
9.4,22.4968,101.417,65.6285,0.647118
9.5,22.7361,101.417,65.637,0.647202
9.6,22.9754,101.417,65.637,0.647202
9.7,23.2148,101.417,65.6454,0.647285
9.8,23.4541,101.417,65.6536,0.647366
9.9,23.6934,101.417,65.6617,0.647446
10.0,23.9327,101.417,65.6696,0.647523
