time,collision-num,trajectory-num,success,q
0.161721,0,8,1,0.0
0.168527,0,9,1,0.0
0.186574,0,10,1,0.0
0.190098,0,11,1,0.0
0.201624,0,12,1,0.0
0.228487,0,13,1,0.0
0.25014,0,14,1,0.0
0.256384,0,15,1,0.0
0.267469,0,16,1,0.0
0.286079,0,17,1,0.0
0.328159,0,18,1,0.0
0.355214,0,19,1,0.0
0.39345,0,20,1,0.0
0.379854,0,21,1,0.0
0.411416,0,22,1,0.0
0.40902,0,23,1,0.0
0.420059,0,24,1,0.0
0.427283,0,25,1,0.0
0.450747,0,26,1,0.0
0.458566,0,27,1,0.0
0.485025,0,28,1,0.0
0.496712,0,29,1,0.0
0.360644,1,8,1,0.0
0.355512,1,9,1,0.001221
0.408782,1,10,1,0.002442
0.449655,1,11,1,0.003663
0.469238,1,12,1,0.004884
0.487744,1,13,1,0.006105
0.515606,1,14,1,0.007326
0.532787,1,15,1,0.008547
0.614277,1,16,1,0.009768
0.627928,1,17,1,0.010989
0.664897,1,18,1,0.01221
0.693632,1,19,1,0.013431
0.72825,1,20,1,0.014652
0.75471,1,21,1,0.015873
0.772442,1,22,1,0.017094
0.822597,1,23,1,0.018315
0.82942,1,24,1,0.019536
0.836855,1,25,1,0.020757
0.929083,1,26,1,0.021978
0.933533,1,27,1,0.023199
1.05372,1,28,1,0.02442
0.99981,1,29,1,0.025641
0.4944,2,8,1,0.0
0.544253,2,9,1,0.002442
0.57208,2,10,1,0.004884
0.618758,2,11,1,0.007326
0.66046,2,12,1,0.009768
0.734913,2,13,1,0.01221
0.839547,2,14,1,0.014652
0.777404,2,15,1,0.017094
0.873025,2,16,1,0.019536
0.901302,2,17,1,0.021978
0.906638,2,18,1,0.02442
0.952532,2,19,1,0.026862
1.00742,2,20,1,0.029304
1.01394,2,21,1,0.031746
1.07668,2,22,1,0.034188
1.10114,2,23,1,0.03663
1.13693,2,24,1,0.039072
1.15463,2,25,1,0.041514
1.17633,2,26,1,0.043956
1.22545,2,27,1,0.046398
1.24752,2,28,1,0.04884
1.30404,2,29,1,0.051282
0.53821,3,8,1,0.0
0.583416,3,9,1,0.003663
0.639213,3,10,1,0.007326
0.700447,3,11,1,0.010989
0.747176,3,12,1,0.014652
0.783089,3,13,1,0.018315
0.855714,3,14,1,0.021978
0.910007,3,15,1,0.025641
0.920377,3,16,1,0.029304
0.967587,3,17,1,0.032967
1.0289,3,18,1,0.03663
1.14646,3,19,1,0.040293
1.12579,3,20,1,0.043956
1.15034,3,21,1,0.047619
1.19079,3,22,1,0.051282
1.23508,3,23,1,0.054945
1.31401,3,24,1,0.058608
1.29592,3,25,1,0.062271
1.39698,3,26,1,0.065934
1.40277,3,27,1,0.069597
1.41375,3,28,1,0.07326
1.48876,3,29,1,0.076923
0.574041,4,8,1,0.0
0.623997,4,9,1,0.004884
0.667551,4,10,1,0.009768
0.70953,4,11,1,0.014652
0.772694,4,12,1,0.019536
0.854788,4,13,1,0.02442
0.859578,4,14,1,0.029304
0.909484,4,15,1,0.034188
0.993139,4,16,1,0.039072
0.999191,4,17,1,0.043956
1.07898,4,18,1,0.04884
1.1182,4,19,1,0.053724
1.17498,4,20,1,0.058608
1.19023,4,21,1,0.063492
1.21512,4,22,1,0.068376
1.25716,4,23,1,0.07326
1.28964,4,24,1,0.078144
1.33605,4,25,1,0.083028
1.37449,4,26,1,0.087912
1.41348,4,27,1,0.092796
1.44781,4,28,1,0.09768
1.49425,4,29,1,0.102564
0.588958,5,8,1,0.0
0.667693,5,9,1,0.006105
0.714907,5,10,1,0.01221
0.77846,5,11,1,0.018315
0.829146,5,12,1,0.02442
0.872119,5,13,1,0.030525
0.929586,5,14,1,0.03663
1.0026,5,15,1,0.042735
1.0375,5,16,1,0.04884
1.10445,5,17,1,0.054945
1.12595,5,18,1,0.06105
1.18768,5,19,1,0.067155
1.2345,5,20,1,0.07326
1.27777,5,21,1,0.079365
1.326,5,22,1,0.08547
1.38616,5,23,1,0.091575
1.39995,5,24,1,0.09768
1.45516,5,25,1,0.103785
1.50574,5,26,1,0.10989
1.61868,5,27,1,0.115995
1.67703,5,28,1,0.1221
1.69118,5,29,1,0.128205
0.810642,6,8,1,0.0
0.907625,6,9,1,0.007326
0.954118,6,10,1,0.014652
1.05181,6,11,1,0.021978
1.0813,6,12,1,0.029304
1.16937,6,13,1,0.03663
1.20953,6,14,1,0.043956
1.3043,6,15,1,0.051282
1.348,6,16,1,0.058608
1.42903,6,17,1,0.065934
1.4794,6,18,1,0.07326
1.52435,6,19,1,0.080586
1.60631,6,20,1,0.087912
1.65863,6,21,1,0.095238
1.70292,6,22,1,0.102564
1.73878,6,23,1,0.10989
1.77066,6,24,1,0.117216
1.84616,6,25,1,0.124542
1.88983,6,26,1,0.131868
1.93255,6,27,1,0.139194
1.98245,6,28,1,0.14652
2.04105,6,29,1,0.153846
0.857126,7,8,1,0.0
0.973747,7,9,1,0.008547
1.05186,7,10,1,0.017094
1.17661,7,11,1,0.025641
1.2263,7,12,1,0.034188
1.3086,7,13,1,0.042735
1.38067,7,14,1,0.051282
1.49958,7,15,1,0.059829
1.62008,7,16,1,0.068376
1.59796,7,17,1,0.076923
1.65027,7,18,1,0.08547
1.74423,7,19,1,0.094017
1.82922,7,20,1,0.102564
1.93464,7,21,1,0.111111
1.97353,7,22,1,0.119658
1.98813,7,23,1,0.128205
2.18903,7,24,1,0.136752
2.18944,7,25,1,0.145299
2.31326,7,26,1,0.153846
2.39451,7,27,1,0.162393
2.39353,7,28,1,0.17094
2.30174,7,29,1,0.179487
1.08554,8,8,1,0.0
1.22657,8,9,1,0.009768
1.29128,8,10,1,0.019536
1.37756,8,11,1,0.029304
1.47231,8,12,1,0.039072
1.62147,8,13,1,0.04884
1.64014,8,14,1,0.058608
1.69883,8,15,1,0.068376
1.91403,8,16,1,0.078144
1.8679,8,17,1,0.087912
1.98448,8,18,1,0.09768
2.12133,8,19,1,0.107448
2.3105,8,20,1,0.117216
2.37675,8,21,1,0.126984
2.33582,8,22,1,0.136752
2.36333,8,23,1,0.14652
2.4643,8,24,1,0.156288
2.58158,8,25,1,0.166056
2.5449,8,26,1,0.175824
2.60116,8,27,1,0.185592
2.78221,8,28,1,0.19536
2.91276,8,29,1,0.205128
1.09317,9,8,1,0.0
1.24223,9,9,1,0.010989
1.31001,9,10,1,0.021978
1.43999,9,11,1,0.032967
1.50685,9,12,1,0.043956
1.5828,9,13,1,0.054945
1.68221,9,14,1,0.065934
1.76319,9,15,1,0.076923
1.86917,9,16,1,0.087912
1.93015,9,17,1,0.098901
2.07621,9,18,1,0.10989
2.13762,9,19,1,0.120879
2.26644,9,20,1,0.131868
2.29644,9,21,1,0.142857
2.36411,9,22,1,0.153846
2.43352,9,23,1,0.164835
2.48847,9,24,1,0.175824
2.57131,9,25,1,0.186813
2.66939,9,26,1,0.197802
2.75499,9,27,1,0.208791
2.83468,9,28,1,0.21978
2.83089,9,29,1,0.230769
1.10643,10,8,1,0.0
1.23753,10,9,1,0.01221
1.36346,10,10,1,0.02442
1.44995,10,11,1,0.03663
1.54295,10,12,1,0.04884
1.71913,10,13,1,0.06105
1.8593,10,14,1,0.07326
1.94481,10,15,1,0.08547
1.95833,10,16,1,0.09768
2.13322,10,17,1,0.10989
2.23076,10,18,1,0.1221
2.27897,10,19,1,0.13431
2.42004,10,20,1,0.14652
2.41565,10,21,1,0.15873
2.65024,10,22,1,0.17094
2.5974,10,23,1,0.18315
3.09732,10,24,1,0.19536
2.79019,10,25,1,0.20757
2.91859,10,26,1,0.21978
2.94261,10,27,1,0.23199
3.16663,10,28,1,0.2442
3.15381,10,29,1,0.25641
1.27917,11,8,1,0.0
1.42368,11,9,1,0.013431
1.47737,11,10,1,0.026862
1.61795,11,11,1,0.040293
2.03008,11,12,1,0.053724
1.95438,11,13,1,0.067155
2.15555,11,14,1,0.080586
2.30794,11,15,1,0.094017
2.29907,11,16,1,0.107448
2.29019,11,17,1,0.120879
2.33422,11,18,1,0.13431
2.56103,11,19,1,0.147741
2.69926,11,20,1,0.161172
2.92414,11,21,1,0.174603
3.01734,11,22,1,0.188034
2.79731,11,23,1,0.201465
2.84905,11,24,1,0.214896
3.45372,11,25,1,0.228327
3.34364,11,26,1,0.241758
3.07203,11,27,1,0.255189
3.09576,11,28,1,0.26862
3.22402,11,29,1,0.282051
1.52342,12,8,1,0.0
1.65385,12,9,1,0.014652
1.77527,12,10,1,0.029304
1.94996,12,11,1,0.043956
2.04249,12,12,1,0.058608
2.29252,12,13,1,0.07326
2.26709,12,14,1,0.087912
2.42128,12,15,1,0.102564
2.62708,12,16,1,0.117216
2.72996,12,17,1,0.131868
2.83655,12,18,1,0.14652
3.41147,12,19,1,0.161172
3.84616,12,20,1,0.175824
3.77757,12,21,1,0.190476
3.19405,12,22,1,0.205128
3.31769,12,23,1,0.21978
3.39149,12,24,1,0.234432
3.56732,12,25,1,0.249084
3.81046,12,26,1,0.263736
4.02766,12,27,1,0.278388
4.16283,12,28,1,0.29304
4.24623,12,29,1,0.307692
1.61637,13,8,1,0.0
1.83223,13,9,1,0.015873
1.89464,13,10,1,0.031746
2.08453,13,11,1,0.047619
2.32306,13,12,1,0.063492
2.38342,13,13,1,0.079365
2.55879,13,14,1,0.095238
2.68611,13,15,1,0.111111
2.89014,13,16,1,0.126984
3.03875,13,17,1,0.142857
3.06112,13,18,1,0.15873
3.24012,13,19,1,0.174603
3.29896,13,20,1,0.190476
3.42046,13,21,1,0.206349
3.55416,13,22,1,0.222222
3.64151,13,23,1,0.238095
3.79209,13,24,1,0.253968
3.93374,13,25,1,0.269841
4.06833,13,26,1,0.285714
4.12659,13,27,1,0.301587
4.22469,13,28,1,0.31746
4.33013,13,29,1,0.333333
1.72582,14,8,1,0.0
1.93701,14,9,1,0.017094
2.06445,14,10,1,0.034188
2.2749,14,11,1,0.051282
2.46329,14,12,1,0.068376
2.56796,14,13,1,0.08547
2.68534,14,14,1,0.102564
2.8624,14,15,1,0.119658
3.0337,14,16,1,0.136752
3.16995,14,17,1,0.153846
3.34289,14,18,1,0.17094
3.44205,14,19,1,0.188034
3.55406,14,20,1,0.205128
3.65865,14,21,1,0.222222
3.86834,14,22,1,0.239316
3.94456,14,23,1,0.25641
4.07045,14,24,1,0.273504
4.13106,14,25,1,0.290598
4.27537,14,26,1,0.307692
4.514,14,27,1,0.324786
4.49734,14,28,1,0.34188
4.58945,14,29,1,0.358974
1.79803,15,8,1,0.0
2.03558,15,9,1,0.018315
2.26545,15,10,1,0.03663
2.43548,15,11,1,0.054945
2.56682,15,12,1,0.07326
2.7762,15,13,1,0.091575
2.854,15,14,1,0.10989
2.94381,15,15,1,0.128205
3.1284,15,16,1,0.14652
3.26694,15,17,1,0.164835
3.476,15,18,1,0.18315
3.54825,15,19,1,0.201465
3.7045,15,20,1,0.21978
3.88207,15,21,1,0.238095
3.95125,15,22,1,0.25641
4.01397,15,23,1,0.274725
3.908,15,24,1,0.29304
3.93094,15,25,1,0.311355
3.89485,15,26,1,0.32967
3.97863,15,27,1,0.347985
4.34109,15,28,1,0.3663
4.19616,15,29,1,0.384615
1.67581,16,8,1,0.0
1.85295,16,9,1,0.019536
2.04103,16,10,1,0.039072
2.19229,16,11,1,0.058608
2.35105,16,12,1,0.078144
2.55513,16,13,1,0.09768
2.60324,16,14,1,0.117216
2.71775,16,15,1,0.136752
2.96513,16,16,1,0.156288
3.15834,16,17,1,0.175824
3.13892,16,18,1,0.19536
3.24113,16,19,1,0.214896
3.39381,16,20,1,0.234432
3.52417,16,21,1,0.253968
3.71954,16,22,1,0.273504
3.88033,16,23,1,0.29304
3.84785,16,24,1,0.312576
3.98198,16,25,1,0.332112
4.10693,16,26,1,0.351648
4.34659,16,27,1,0.371184
4.33963,16,28,1,0.39072
4.39466,16,29,1,0.410256
1.74546,17,8,1,0.0
1.91865,17,9,1,0.020757
2.04193,17,10,1,0.041514
2.21734,17,11,1,0.062271
2.31231,17,12,1,0.083028
2.43226,17,13,1,0.103785
2.63392,17,14,1,0.124542
2.692,17,15,1,0.145299
3.09969,17,16,1,0.166056
3.0813,17,17,1,0.186813
3.31415,17,18,1,0.20757
3.30746,17,19,1,0.228327
3.44585,17,20,1,0.249084
3.70335,17,21,1,0.269841
3.75798,17,22,1,0.290598
3.75566,17,23,1,0.311355
3.92301,17,24,1,0.332112
4.07469,17,25,1,0.352869
4.14023,17,26,1,0.373626
4.32575,17,27,1,0.394383
4.56539,17,28,1,0.41514
4.37222,17,29,1,0.435897
1.71059,18,8,1,0.0
1.96391,18,9,1,0.021978
2.12489,18,10,1,0.043956
2.27398,18,11,1,0.065934
2.3744,18,12,1,0.087912
2.57186,18,13,1,0.10989
2.83331,18,14,1,0.131868
2.80034,18,15,1,0.153846
3.03464,18,16,1,0.175824
3.11073,18,17,1,0.197802
3.21832,18,18,1,0.21978
3.42458,18,19,1,0.241758
3.48401,18,20,1,0.263736
3.61992,18,21,1,0.285714
3.74003,18,22,1,0.307692
3.86469,18,23,1,0.32967
3.95591,18,24,1,0.351648
4.07347,18,25,1,0.373626
4.27042,18,26,1,0.395604
4.23628,18,27,1,0.417582
4.44967,18,28,1,0.43956
4.6038,18,29,1,0.461538
1.77863,19,8,1,0.0
2.01747,19,9,1,0.023199
2.13896,19,10,1,0.046398
2.38001,19,11,1,0.069597
2.47787,19,12,1,0.092796
2.72792,19,13,1,0.115995
2.87446,19,14,1,0.139194
2.96471,19,15,1,0.162393
3.1704,19,16,1,0.185592
3.28513,19,17,1,0.208791
3.3495,19,18,1,0.23199
3.55344,19,19,1,0.255189
3.67248,19,20,1,0.278388
3.85906,19,21,1,0.301587
3.98134,19,22,1,0.324786
3.96467,19,23,1,0.347985
4.2014,19,24,1,0.371184
4.27737,19,25,1,0.394383
4.44916,19,26,1,0.417582
4.56689,19,27,1,0.440781
4.69138,19,28,1,0.46398
4.66724,19,29,1,0.487179
1.88638,20,8,1,0.0
2.19075,20,9,1,0.02442
2.26637,20,10,1,0.04884
2.49052,20,11,1,0.07326
2.65602,20,12,1,0.09768
2.96209,20,13,1,0.1221
2.98443,20,14,1,0.14652
3.17545,20,15,1,0.17094
3.31573,20,16,1,0.19536
3.43064,20,17,1,0.21978
3.72359,20,18,1,0.2442
3.74956,20,19,1,0.26862
3.85456,20,20,1,0.29304
4.09908,20,21,1,0.31746
4.19219,20,22,1,0.34188
4.37948,20,23,1,0.3663
4.42246,20,24,1,0.39072
4.49837,20,25,1,0.41514
4.77206,20,26,1,0.43956
4.76883,20,27,1,0.46398
4.91211,20,28,1,0.4884
4.99841,20,29,1,0.512821
1.97155,21,8,1,0.0
2.24282,21,9,1,0.025641
2.41175,21,10,1,0.051282
2.58754,21,11,1,0.076923
2.77391,21,12,1,0.102564
2.92661,21,13,1,0.128205
3.08304,21,14,1,0.153846
3.27433,21,15,1,0.179487
3.45471,21,16,1,0.205128
3.61651,21,17,1,0.230769
3.71012,21,18,1,0.25641
3.99308,21,19,1,0.282051
4.05589,21,20,1,0.307692
4.16749,21,21,1,0.333333
4.30002,21,22,1,0.358974
4.47714,21,23,1,0.384615
4.57452,21,24,1,0.410256
4.70715,21,25,1,0.435897
4.78532,21,26,1,0.461538
4.8601,21,27,1,0.487179
5.06491,21,28,1,0.512821
5.09703,21,29,1,0.538462
2.21982,22,8,1,0.0
2.49576,22,9,1,0.026862
2.68322,22,10,1,0.053724
2.92669,22,11,1,0.080586
3.13333,22,12,1,0.107448
3.33813,22,13,1,0.13431
3.53534,22,14,1,0.161172
3.60466,22,15,1,0.188034
3.8408,22,16,1,0.214896
3.98745,22,17,1,0.241758
4.19938,22,18,1,0.26862
4.40745,22,19,1,0.295482
4.5639,22,20,1,0.322344
4.69783,22,21,1,0.349206
4.90196,22,22,1,0.376068
5.03975,22,23,1,0.40293
5.10364,22,24,1,0.429792
5.3593,22,25,1,0.456654
5.443,22,26,1,0.483516
5.55751,22,27,1,0.510379
5.7125,22,28,1,0.537241
5.84613,22,29,1,0.564103
2.41531,23,8,1,0.0
2.70183,23,9,1,0.028083
2.92663,23,10,1,0.056166
3.16573,23,11,1,0.084249
3.37393,23,12,1,0.112332
3.58468,23,13,1,0.140415
3.84893,23,14,1,0.168498
