time,collision-num,trajectory-num,success,q
0.355512,1,9,1,0.001221
0.408782,1,10,1,0.002442
0.449655,1,11,1,0.003663
0.469238,1,12,1,0.004884
0.487744,1,13,1,0.006105
0.515606,1,14,1,0.007326
0.532787,1,15,1,0.008547
0.614277,1,16,1,0.009768
0.627928,1,17,1,0.010989
0.664897,1,18,1,0.01221
0.693632,1,19,1,0.013431
0.70953,4,11,1,0.014652
0.75471,1,21,1,0.015873
0.772442,1,22,1,0.017094
0.772694,4,12,1,0.019536
0.829146,5,12,1,0.02442
0.859578,4,14,1,0.029304
0.872119,5,13,1,0.030525
0.909484,4,15,1,0.034188
0.929586,5,14,1,0.03663
0.993139,4,16,1,0.039072
0.999191,4,17,1,0.043956
1.0375,5,16,1,0.04884
1.10445,5,17,1,0.054945
1.12595,5,18,1,0.06105
1.18768,5,19,1,0.067155
1.21512,4,22,1,0.068376
1.2345,5,20,1,0.07326
1.27777,5,21,1,0.079365
1.326,5,22,1,0.08547
1.37449,4,26,1,0.087912
1.38616,5,23,1,0.091575
1.39995,5,24,1,0.09768
1.45516,5,25,1,0.103785
1.50574,5,26,1,0.10989
1.61868,5,27,1,0.115995
1.67703,5,28,1,0.1221
1.69118,5,29,1,0.128205
1.88983,6,26,1,0.131868
1.93255,6,27,1,0.139194
1.98245,6,28,1,0.14652
2.04105,6,29,1,0.153846
2.30174,7,29,1,0.179487
2.57131,9,25,1,0.186813
2.66939,9,26,1,0.197802
2.75499,9,27,1,0.208791
2.83089,9,29,1,0.230769
2.94261,10,27,1,0.23199
3.07203,11,27,1,0.255189
3.09576,11,28,1,0.26862
3.22402,11,29,1,0.282051
3.61992,18,21,1,0.285714
3.74003,18,22,1,0.307692
3.75566,17,23,1,0.311355
3.84785,16,24,1,0.312576
3.86469,18,23,1,0.32967
3.92301,17,24,1,0.332112
3.95591,18,24,1,0.351648
4.07347,18,25,1,0.373626
4.19616,15,29,1,0.384615
4.23628,18,27,1,0.417582
4.37222,17,29,1,0.435897
4.44967,18,28,1,0.43956
4.56689,19,27,1,0.440781
4.6038,18,29,1,0.461538
4.66724,19,29,1,0.487179
4.91211,20,28,1,0.4884
4.99841,20,29,1,0.512821
5.09703,21,29,1,0.538462
5.84613,22,29,1,0.564103
6.26867,25,27,1,0.579976
6.32811,23,29,1,0.589744
6.43163,25,28,1,0.610501
6.51082,24,29,1,0.615385
6.63198,25,29,1,0.641026
6.93597,26,29,1,0.666667
7.18715,29,27,1,0.672772
7.30659,28,28,1,0.683761
7.35659,33,25,1,0.684982
7.36748,29,28,1,0.708181
7.44609,28,29,1,0.717949
7.51335,31,27,1,0.71917
7.53851,29,29,1,0.74359
7.56609,31,28,1,0.757021
7.70138,30,29,1,0.769231
7.79339,32,28,1,0.781441
7.79653,31,29,1,0.794872
7.98398,32,29,1,0.820513
8.07088,34,28,1,0.830281
8.13974,33,29,1,0.846154
8.29961,35,28,1,0.854701
8.35823,34,29,1,0.871795
8.5828,35,29,1,0.897436
8.81816,38,28,1,0.927961
8.98127,37,29,1,0.948718
9.00243,38,29,1,0.974359
9.21626,39,29,1,1.0
