time,collision-num,trajectory-num,success,q
0.650933,0,8,1,0.0
0.537231,0,8,1,0.0
0.68421,0,8,1,0.0
1.28862,0,8,1,0.0
0.962396,0,8,1,0.0
1.32707,0,10,1,0.0
1.12508,0,10,1,0.0
0.953686,0,10,1,0.0
0.719629,0,10,1,0.0
0.822235,0,10,1,0.0
0.875943,0,12,1,0.0
1.08429,0,12,1,0.0
0.923622,0,12,1,0.0
1.06059,0,12,1,0.0
1.05972,0,12,1,0.0
1.1296,0,14,1,0.0
1.41645,0,14,1,0.0
1.29496,0,14,1,0.0
1.38084,0,14,1,0.0
1.29152,0,14,1,0.0
1.47441,0,16,1,0.0
1.32205,0,16,1,0.0
1.37278,0,16,1,0.0
1.33359,0,16,1,0.0
1.37066,0,16,1,0.0
1.53604,0,18,1,0.0
1.54241,0,18,1,0.0
1.54447,0,18,1,0.0
1.74769,0,18,1,0.0
1.74546,0,18,1,0.0
1.82705,0,20,1,0.0
1.75811,0,20,1,0.0
1.89857,0,20,1,0.0
2.17908,0,20,1,0.0
1.98324,0,20,1,0.0
2.13174,0,22,1,0.0
2.13185,0,22,1,0.0
2.28278,0,22,1,0.0
2.08182,0,22,1,0.0
2.06675,0,22,1,0.0
2.56026,0,24,1,0.0
2.1914,0,24,1,0.0
2.28275,0,24,1,0.0
2.34094,0,24,1,0.0
2.36977,0,24,1,0.0
2.46773,0,26,1,0.0
2.57101,0,26,1,0.0
2.82769,0,26,1,0.0
3.24896,0,26,1,0.0
3.7313,0,26,1,0.0
3.09693,0,28,1,0.0
3.01028,0,28,1,0.0
2.96725,0,28,1,0.0
2.79381,0,28,1,0.0
2.80221,0,28,1,0.0
3.51187,2,8,1,0.002174
3.39702,2,8,1,0.002174
3.54718,2,8,1,0.002174
3.41989,2,8,1,0.002174
3.30859,2,8,1,0.002174
5.61172,2,10,1,0.006522
5.47286,2,10,1,0.006522
5.4439,2,10,1,0.006522
5.3997,2,10,1,0.006522
5.4049,2,10,1,0.006522
4.17198,2,12,1,0.01087
4.45959,2,12,1,0.01087
4.44835,2,12,1,0.01087
4.24373,2,12,1,0.01087
4.27901,2,12,1,0.01087
4.56938,2,14,1,0.015217
4.73493,2,14,1,0.015217
4.458,2,14,1,0.015217
4.50725,2,14,1,0.015217
4.42316,2,14,1,0.015217
5.18265,2,16,1,0.019565
5.17551,2,16,1,0.019565
5.17357,2,16,1,0.019565
5.29701,2,16,1,0.019565
5.26019,2,16,1,0.019565
6.06583,2,18,1,0.023913
6.00985,2,18,1,0.023913
6.1316,2,18,1,0.023913
6.04973,2,18,1,0.023913
5.98028,2,18,1,0.023913
6.97421,2,20,1,0.028261
7.14518,2,20,1,0.028261
6.91264,2,20,1,0.028261
6.88744,2,20,1,0.028261
6.91437,2,20,1,0.028261
8.68353,2,22,1,0.032609
8.69778,2,22,1,0.032609
8.76673,2,22,1,0.032609
8.56081,2,22,1,0.032609
8.68549,2,22,1,0.032609
11.7703,2,24,1,0.036957
12.0179,2,24,1,0.036957
12.0059,2,24,1,0.036957
12.7854,2,24,1,0.036957
12.2735,2,24,1,0.036957
13.102,2,26,1,0.041304
13.1432,2,26,1,0.041304
13.2729,2,26,1,0.041304
13.1974,2,26,1,0.041304
13.1356,2,26,1,0.041304
14.1078,2,28,1,0.045652
13.9487,2,28,1,0.045652
14.2096,2,28,1,0.045652
14.4085,2,28,1,0.045652
14.4289,2,28,1,0.045652
5.72057,4,8,1,0.004348
5.57669,4,8,1,0.004348
5.81941,4,8,1,0.004348
5.47221,4,8,1,0.004348
5.46339,4,8,1,0.004348
6.81457,4,10,1,0.013043
6.76133,4,10,1,0.013043
6.68777,4,10,1,0.013043
6.79668,4,10,1,0.013043
6.61593,4,10,1,0.013043
8.06843,4,12,1,0.021739
8.24567,4,12,1,0.021739
7.79517,4,12,1,0.021739
7.82509,4,12,1,0.021739
8.39231,4,12,1,0.021739
9.51868,4,14,1,0.030435
9.09094,4,14,1,0.030435
9.17019,4,14,1,0.030435
9.26841,4,14,1,0.030435
9.65735,4,14,1,0.030435
11.1653,4,16,1,0.03913
10.6889,4,16,1,0.03913
10.287,4,16,1,0.03913
10.8815,4,16,1,0.03913
10.5307,4,16,1,0.03913
12.3322,4,18,1,0.047826
12.3481,4,18,1,0.047826
11.9479,4,18,1,0.047826
11.9599,4,18,1,0.047826
11.5096,4,18,1,0.047826
12.9613,4,20,1,0.056522
13.0492,4,20,1,0.056522
12.8882,4,20,1,0.056522
12.5673,4,20,1,0.056522
12.5947,4,20,1,0.056522
13.5661,4,22,1,0.065217
13.7165,4,22,1,0.065217
13.612,4,22,1,0.065217
14.0639,4,22,1,0.065217
13.9502,4,22,1,0.065217
14.8163,4,24,1,0.073913
14.7171,4,24,1,0.073913
14.972,4,24,1,0.073913
15.5289,4,24,1,0.073913
15.4249,4,24,1,0.073913
16.0164,4,26,1,0.082609
15.8418,4,26,1,0.082609
15.7503,4,26,1,0.082609
15.7157,4,26,1,0.082609
15.7034,4,26,1,0.082609
16.8757,4,28,1,0.091304
