time,collision-num,trajectory-num,success,q
0.824678,0,8,1,0.0
0.98954,0,10,1,0.0
1.00083,0,12,1,0.0
1.30267,0,14,1,0.0
1.3747,0,16,1,0.0
1.62321,0,18,1,0.0
1.92921,0,20,1,0.0
2.13899,0,22,1,0.0
2.34902,0,24,1,0.0
2.96934,0,26,1,0.0
2.9341,0,28,1,0.0
3.43691,2,8,1,0.002174
5.46662,2,10,1,0.006522
4.32053,2,12,1,0.01087
4.53854,2,14,1,0.015217
5.21779,2,16,1,0.019565
6.04746,2,18,1,0.023913
6.96677,2,20,1,0.028261
8.67887,2,22,1,0.032609
12.1706,2,24,1,0.036957
13.1702,2,26,1,0.041304
14.2207,2,28,1,0.045652
5.61045,4,8,1,0.004348
6.73526,4,10,1,0.013043
8.06533,4,12,1,0.021739
9.34111,4,14,1,0.030435
10.7107,4,16,1,0.03913
12.0195,4,18,1,0.047826
12.8121,4,20,1,0.056522
13.7817,4,22,1,0.065217
15.0918,4,24,1,0.073913
15.8055,4,26,1,0.082609
16.9951,4,28,1,0.091304
6.94366,6,8,1,0.006522
8.72748,6,10,1,0.019565
10.3679,6,12,1,0.032609
11.9187,6,14,1,0.045652
13.7639,6,16,1,0.058696
15.3648,6,18,1,0.071739
17.0021,6,20,1,0.084783
18.3625,6,22,1,0.097826
19.9651,6,24,1,0.11087
21.7099,6,26,1,0.123913
23.2098,6,28,1,0.136957
9.02044,8,8,1,0.008696
11.3131,8,10,1,0.026087
13.2848,8,12,1,0.043478
15.5997,8,14,1,0.06087
17.5972,8,16,1,0.078261
19.7876,8,18,1,0.095652
22.188,8,20,1,0.113043
24.3744,8,22,1,0.130435
26.117,8,24,1,0.147826
28.1415,8,26,1,0.165217
30.7891,8,28,1,0.182609
10.0216,10,8,1,0.01087
11.9303,10,10,1,0.032609
14.3506,10,12,1,0.054348
16.8203,10,14,1,0.076087
19.0633,10,16,1,0.097826
21.3906,10,18,1,0.119565
24.3906,10,20,1,0.141304
26.4226,10,22,1,0.163043
28.2104,10,24,1,0.184783
30.3116,10,26,1,0.206522
32.5136,10,28,1,0.228261
12.8301,12,8,1,0.013043
15.9918,12,10,1,0.03913
19.3447,12,12,1,0.065217
22.1735,12,14,1,0.091304
24.7907,12,16,1,0.117391
29.706,12,18,1,0.143478
31.5768,12,20,1,0.169565
34.3302,12,22,1,0.195652
36.9777,12,24,1,0.221739
40.2634,12,26,1,0.247826
43.6028,12,28,1,0.273913
49.7527,14,28,1,0.319565
50.3306,16,28,1,0.365217
48.5932,18,26,1,0.371739
52.4632,18,28,1,0.41087
55.8875,20,26,1,0.413043
57.2741,20,28,1,0.456522
44.8934,22,18,1,0.263043
63.5009,22,26,1,0.454348
68.041,22,28,1,0.502174
49.1614,24,18,1,0.286957
71.0848,24,26,1,0.495652
74.3407,24,28,1,0.547826
54.9462,26,18,1,0.31087
77.1618,26,26,1,0.536957
81.7829,26,28,1,0.593478
57.6118,28,18,1,0.334783
81.8012,28,26,1,0.578261
92.6029,28,28,1,0.63913
