time,collision-num,trajectory-num,success,q
3.43691,2,8,1,0.002174
4.32053,2,12,1,0.01087
4.53854,2,14,1,0.015217
5.21779,2,16,1,0.019565
6.04746,2,18,1,0.023913
6.96677,2,20,1,0.028261
8.67887,2,22,1,0.032609
10.7107,4,16,1,0.03913
11.9187,6,14,1,0.045652
12.0195,4,18,1,0.047826
12.8121,4,20,1,0.056522
13.7639,6,16,1,0.058696
13.7817,4,22,1,0.065217
15.0918,4,24,1,0.073913
15.8055,4,26,1,0.082609
16.9951,4,28,1,0.091304
18.3625,6,22,1,0.097826
19.9651,6,24,1,0.11087
21.3906,10,18,1,0.119565
21.7099,6,26,1,0.123913
23.2098,6,28,1,0.136957
24.3906,10,20,1,0.141304
26.117,8,24,1,0.147826
26.4226,10,22,1,0.163043
28.1415,8,26,1,0.165217
28.2104,10,24,1,0.184783
30.3116,10,26,1,0.206522
32.5136,10,28,1,0.228261
40.2634,12,26,1,0.247826
43.6028,12,28,1,0.273913
48.5932,18,26,1,0.371739
52.4632,18,28,1,0.41087
55.8875,20,26,1,0.413043
57.2741,20,28,1,0.456522
68.041,22,28,1,0.502174
74.3407,24,28,1,0.547826
81.7829,26,28,1,0.593478
92.6029,28,28,1,0.63913
