time,collision-num,trajectory-num,success,q
0.213337,0,11,1,0.0
0.221297,0,12,1,0.0
0.258537,0,13,1,0.0
0.269858,0,14,1,0.0
0.287615,0,15,1,0.0
0.303627,0,16,1,0.0
0.349105,0,17,1,0.0
0.348488,0,18,1,0.0
0.362039,0,19,1,0.0
0.356855,0,20,1,0.0
0.400008,0,21,1,0.0
0.413138,0,22,1,0.0
0.471002,0,23,1,0.0
0.500336,0,24,1,0.0
0.459618,0,25,1,0.0
0.51424,0,26,1,0.0
0.515311,0,27,1,0.0
0.548829,0,28,1,0.0
0.534329,0,29,1,0.0
0.359484,1,11,1,0.0
0.378383,1,12,1,0.001425
0.421401,1,13,1,0.002849
0.447688,1,14,1,0.004274
0.478459,1,15,1,0.005698
0.513517,1,16,1,0.007123
0.552212,1,17,1,0.008547
0.577228,1,18,1,0.009972
0.597122,1,19,1,0.011396
0.644416,1,20,1,0.012821
0.691523,1,21,1,0.014245
0.678843,1,22,1,0.01567
0.705933,1,23,1,0.017094
0.728945,1,24,1,0.018519
0.753131,1,25,1,0.019943
0.764131,1,26,1,0.021368
0.830867,1,27,1,0.022792
0.814315,1,28,1,0.024217
0.877612,1,29,1,0.025641
0.391136,2,11,1,0.0
0.42048,2,12,1,0.002849
0.455396,2,13,1,0.005698
0.473387,2,14,1,0.008547
0.514366,2,15,1,0.011396
0.565092,2,16,1,0.014245
0.569042,2,17,1,0.017094
0.595575,2,18,1,0.019943
0.610271,2,19,1,0.022792
0.641617,2,20,1,0.025641
0.673409,2,21,1,0.02849
0.730084,2,22,1,0.031339
0.752605,2,23,1,0.034188
0.80235,2,24,1,0.037037
0.838781,2,25,1,0.039886
0.810796,2,26,1,0.042735
0.841721,2,27,1,0.045584
0.881391,2,28,1,0.048433
0.913218,2,29,1,0.051282
0.536548,3,11,1,0.0
0.642071,3,12,1,0.004274
0.639219,3,13,1,0.008547
0.648696,3,14,1,0.012821
0.683487,3,15,1,0.017094
0.717831,3,16,1,0.021368
0.759252,3,17,1,0.025641
0.788138,3,18,1,0.029915
0.836119,3,19,1,0.034188
0.907288,3,20,1,0.038462
0.904806,3,21,1,0.042735
0.95106,3,22,1,0.047009
1.0438,3,23,1,0.051282
1.01427,3,24,1,0.055556
1.11079,3,25,1,0.059829
1.12454,3,26,1,0.064103
1.15983,3,27,1,0.068376
1.14518,3,28,1,0.07265
1.18193,3,29,1,0.076923
0.99794,4,11,1,0.0
1.11199,4,12,1,0.005698
1.13337,4,13,1,0.011396
1.13776,4,14,1,0.017094
1.22496,4,15,1,0.022792
1.31618,4,16,1,0.02849
1.3098,4,17,1,0.034188
1.39189,4,18,1,0.039886
1.64595,4,19,1,0.045584
1.59624,4,20,1,0.051282
1.60113,4,21,1,0.05698
1.86636,4,22,1,0.062678
1.77136,4,23,1,0.068376
1.75841,4,24,1,0.074074
1.85522,4,25,1,0.079772
1.89636,4,26,1,0.08547
2.03326,4,27,1,0.091168
2.04448,4,28,1,0.096866
2.04904,4,29,1,0.102564
1.01822,5,11,1,0.0
1.08411,5,12,1,0.007123
1.16846,5,13,1,0.014245
1.2373,5,14,1,0.021368
1.30268,5,15,1,0.02849
1.39945,5,16,1,0.035613
1.4335,5,17,1,0.042735
1.57036,5,18,1,0.049858
1.56975,5,19,1,0.05698
1.55517,5,20,1,0.064103
1.63021,5,21,1,0.071225
1.6988,5,22,1,0.078348
1.80126,5,23,1,0.08547
1.86087,5,24,1,0.092593
1.88524,5,25,1,0.099715
2.00677,5,26,1,0.106838
2.0785,5,27,1,0.11396
2.17212,5,28,1,0.121083
2.17339,5,29,1,0.128205
1.37891,6,11,1,0.0
1.4119,6,12,1,0.008547
1.53956,6,13,1,0.017094
1.618,6,14,1,0.025641
1.71412,6,15,1,0.034188
1.75623,6,16,1,0.042735
1.79855,6,17,1,0.051282
1.86951,6,18,1,0.059829
1.94223,6,19,1,0.068376
2.0233,6,20,1,0.076923
2.04657,6,21,1,0.08547
2.15541,6,22,1,0.094017
2.25913,6,23,1,0.102564
2.27149,6,24,1,0.111111
2.41167,6,25,1,0.119658
2.41774,6,26,1,0.128205
2.48558,6,27,1,0.136752
2.57681,6,28,1,0.145299
2.66378,6,29,1,0.153846
1.37162,7,11,1,0.0
1.46945,7,12,1,0.009972
1.51293,7,13,1,0.019943
1.61123,7,14,1,0.029915
1.80414,7,15,1,0.039886
1.80014,7,16,1,0.049858
1.76297,7,17,1,0.059829
1.90173,7,18,1,0.069801
1.93347,7,19,1,0.079772
2.09531,7,20,1,0.089744
2.11135,7,21,1,0.099715
2.14815,7,22,1,0.109687
2.35411,7,23,1,0.119658
2.34575,7,24,1,0.12963
2.56864,7,25,1,0.139601
2.6153,7,26,1,0.149573
2.6358,7,27,1,0.159544
2.6009,7,28,1,0.169516
2.70112,7,29,1,0.179487
1.3451,8,11,1,0.0
1.41883,8,12,1,0.011396
1.51149,8,13,1,0.022792
1.57797,8,14,1,0.034188
1.65193,8,15,1,0.045584
1.81261,8,16,1,0.05698
1.81798,8,17,1,0.068376
1.88777,8,18,1,0.079772
1.95343,8,19,1,0.091168
2.12662,8,20,1,0.102564
2.17143,8,21,1,0.11396
2.25203,8,22,1,0.125356
2.28378,8,23,1,0.136752
2.42792,8,24,1,0.148148
2.49878,8,25,1,0.159544
2.51691,8,26,1,0.17094
2.61022,8,27,1,0.182336
2.70456,8,28,1,0.193732
2.93543,8,29,1,0.205128
1.61981,9,11,1,0.0
1.65534,9,12,1,0.012821
1.80344,9,13,1,0.025641
1.92383,9,14,1,0.038462
1.95286,9,15,1,0.051282
2.06567,9,16,1,0.064103
2.16375,9,17,1,0.076923
2.23675,9,18,1,0.089744
2.33079,9,19,1,0.102564
2.41098,9,20,1,0.115385
2.51731,9,21,1,0.128205
2.57302,9,22,1,0.141026
2.65805,9,23,1,0.153846
2.76478,9,24,1,0.166667
2.8927,9,25,1,0.179487
2.99559,9,26,1,0.192308
3.16249,9,27,1,0.205128
3.29712,9,28,1,0.217949
3.36869,9,29,1,0.230769
1.69659,10,11,1,0.0
1.84111,10,12,1,0.014245
1.88465,10,13,1,0.02849
2.07516,10,14,1,0.042735
2.1446,10,15,1,0.05698
2.26161,10,16,1,0.071225
2.32319,10,17,1,0.08547
2.47231,10,18,1,0.099715
2.50737,10,19,1,0.11396
2.61568,10,20,1,0.128205
2.6927,10,21,1,0.14245
2.84462,10,22,1,0.156695
2.87422,10,23,1,0.17094
3.16972,10,24,1,0.185185
3.25355,10,25,1,0.19943
3.19415,10,26,1,0.213675
3.33033,10,27,1,0.22792
3.40071,10,28,1,0.242165
3.46519,10,29,1,0.25641
1.79429,11,11,1,0.0
1.89371,11,12,1,0.01567
2.06995,11,13,1,0.031339
2.21396,11,14,1,0.047009
2.22884,11,15,1,0.062678
2.48715,11,16,1,0.078348
2.51129,11,17,1,0.094017
2.54062,11,18,1,0.109687
2.63226,11,19,1,0.125356
2.79652,11,20,1,0.141026
2.97208,11,21,1,0.156695
3.39773,11,22,1,0.172365
3.22463,11,23,1,0.188034
3.22936,11,24,1,0.203704
3.47999,11,25,1,0.219373
3.69768,11,26,1,0.235043
3.49503,11,27,1,0.250712
3.48288,11,28,1,0.266382
3.72501,11,29,1,0.282051
1.8646,12,11,1,0.0
2.01688,12,12,1,0.017094
2.12196,12,13,1,0.034188
2.19087,12,14,1,0.051282
2.35388,12,15,1,0.068376
2.50625,12,16,1,0.08547
2.65386,12,17,1,0.102564
2.78394,12,18,1,0.119658
2.78478,12,19,1,0.136752
2.88931,12,20,1,0.153846
3.44181,12,21,1,0.17094
3.76102,12,22,1,0.188034
3.6557,12,23,1,0.205128
3.27491,12,24,1,0.222222
3.37155,12,25,1,0.239316
3.49747,12,26,1,0.25641
3.80361,12,27,1,0.273504
3.88499,12,28,1,0.290598
3.88621,12,29,1,0.307692
2.06699,13,11,1,0.0
2.23069,13,12,1,0.018519
2.33976,13,13,1,0.037037
2.37924,13,14,1,0.055556
2.48359,13,15,1,0.074074
2.76687,13,16,1,0.092593
2.80664,13,17,1,0.111111
2.93664,13,18,1,0.12963
3.00001,13,19,1,0.148148
