time,collision-num,trajectory-num,success,q
0.378383,1,12,1,0.001425
0.42048,2,12,1,0.002849
0.447688,1,14,1,0.004274
0.455396,2,13,1,0.005698
0.473387,2,14,1,0.008547
0.514366,2,15,1,0.011396
0.565092,2,16,1,0.014245
0.569042,2,17,1,0.017094
0.595575,2,18,1,0.019943
0.610271,2,19,1,0.022792
0.641617,2,20,1,0.025641
0.673409,2,21,1,0.02849
0.730084,2,22,1,0.031339
0.752605,2,23,1,0.034188
0.80235,2,24,1,0.037037
0.810796,2,26,1,0.042735
0.841721,2,27,1,0.045584
0.881391,2,28,1,0.048433
0.913218,2,29,1,0.051282
1.01427,3,24,1,0.055556
1.11079,3,25,1,0.059829
1.12454,3,26,1,0.064103
1.14518,3,28,1,0.07265
1.18193,3,29,1,0.076923
1.6988,5,22,1,0.078348
1.80126,5,23,1,0.08547
1.86087,5,24,1,0.092593
1.88524,5,25,1,0.099715
2.00677,5,26,1,0.106838
2.0785,5,27,1,0.11396
2.17212,5,28,1,0.121083
2.17339,5,29,1,0.128205
2.28378,8,23,1,0.136752
2.42792,8,24,1,0.148148
2.49878,8,25,1,0.159544
2.51691,8,26,1,0.17094
2.61022,8,27,1,0.182336
2.70456,8,28,1,0.193732
2.93543,8,29,1,0.205128
3.19415,10,26,1,0.213675
3.27491,12,24,1,0.222222
3.33033,10,27,1,0.22792
3.36869,9,29,1,0.230769
3.37155,12,25,1,0.239316
3.40071,10,28,1,0.242165
3.46519,10,29,1,0.25641
3.48288,11,28,1,0.266382
3.72501,11,29,1,0.282051
3.88499,12,28,1,0.290598
3.88621,12,29,1,0.307692
4.07612,13,29,1,0.333333
4.18182,14,28,1,0.339031
4.41146,14,29,1,0.358974
4.7307,16,27,1,0.364672
4.77644,20,24,1,0.37037
4.86035,16,28,1,0.387464
5.05346,19,26,1,0.405983
5.13483,17,28,1,0.411681
5.17049,20,26,1,0.42735
5.19486,18,28,1,0.435897
5.33141,19,28,1,0.460114
5.34789,18,29,1,0.461538
5.58886,19,29,1,0.487179
5.66995,20,29,1,0.512821
6.34037,21,29,1,0.538462
6.85254,24,27,1,0.547009
6.88915,22,29,1,0.564103
7.02007,24,28,1,0.581197
7.05298,23,29,1,0.589744
7.1368,24,29,1,0.615385
7.44492,26,28,1,0.62963
7.47097,25,29,1,0.641026
7.60067,26,29,1,0.666667
7.84859,32,26,1,0.683761
7.93594,33,26,1,0.705128
8.06856,31,27,1,0.706553
8.1386,36,25,1,0.717949
8.15144,34,26,1,0.726496
8.15441,32,27,1,0.729345
8.303,33,27,1,0.752137
8.42998,32,28,1,0.774929
8.52916,31,29,1,0.794872
8.57492,33,28,1,0.799145
8.59961,32,29,1,0.820513
8.7508,34,28,1,0.823362
8.77392,33,29,1,0.846154
8.89903,35,28,1,0.847578
8.94148,34,29,1,0.871795
9.16898,35,29,1,0.897436
9.43526,36,29,1,0.923077
9.55314,37,29,1,0.948718
9.93754,38,29,1,0.974359
10.2812,39,29,1,1.0
