time,collision-num,trajectory-num,success,q
1.0717,0,12,1,0.0
1.2856,0,12,1,0.0
1.04946,0,12,1,0.0
1.22195,0,12,1,0.0
1.08569,0,12,1,0.0
1.44231,0,14,1,0.0
1.31878,0,14,1,0.0
1.54802,0,14,1,0.0
1.32295,0,14,1,0.0
1.55493,0,14,1,0.0
1.54472,0,16,1,0.0
1.71964,0,16,1,0.0
1.69915,0,16,1,0.0
1.48865,0,16,1,0.0
1.71559,0,16,1,0.0
2.15674,0,18,1,0.0
2.03984,0,18,1,0.0
1.8048,0,18,1,0.0
2.01654,0,18,1,0.0
2.04399,0,18,1,0.0
2.3189,0,20,1,0.0
2.3343,0,20,1,0.0
2.33681,0,20,1,0.0
2.35796,0,20,1,0.0
2.43565,0,20,1,0.0
2.55222,0,22,1,0.0
2.56841,0,22,1,0.0
2.54824,0,22,1,0.0
2.55697,0,22,1,0.0
2.56075,0,22,1,0.0
2.27148,0,24,1,0.0
2.27719,0,24,1,0.0
2.2727,0,24,1,0.0
2.30798,0,24,1,0.0
2.30696,0,24,1,0.0
2.46409,0,26,1,0.0
2.46171,0,26,1,0.0
2.82673,0,26,1,0.0
2.47631,0,26,1,0.0
2.49434,0,26,1,0.0
2.94413,0,28,1,0.0
2.61213,0,28,1,0.0
2.63232,0,28,1,0.0
2.63505,0,28,1,0.0
2.62523,0,28,1,0.0
2.73589,2,12,1,0.01
2.74798,2,12,1,0.01
2.75222,2,12,1,0.01
2.77013,2,12,1,0.01
2.5591,2,12,1,0.01
3.15111,2,14,1,0.02
3.17681,2,14,1,0.02
3.44522,2,14,1,0.02
3.68953,2,14,1,0.02
3.7778,2,14,1,0.02
4.67919,2,16,1,0.03
4.44582,2,16,1,0.03
3.64547,2,16,1,0.03
3.64208,2,16,1,0.03
3.67235,2,16,1,0.03
4.32235,2,18,1,0.04
4.02956,2,18,1,0.04
3.99826,2,18,1,0.04
4.08521,2,18,1,0.04
4.17582,2,18,1,0.04
4.38194,2,20,1,0.05
4.5739,2,20,1,0.05
4.40163,2,20,1,0.05
4.76904,2,20,1,0.05
4.46425,2,20,1,0.05
5.06553,2,22,1,0.06
4.93163,2,22,1,0.06
5.12114,2,22,1,0.06
4.99621,2,22,1,0.06
5.50033,2,22,1,0.06
5.3959,2,24,1,0.07
5.26998,2,24,1,0.07
5.45231,2,24,1,0.07
5.41615,2,24,1,0.07
5.23077,2,24,1,0.07
5.86058,2,26,1,0.08
5.85017,2,26,1,0.08
5.86113,2,26,1,0.08
5.87456,2,26,1,0.08
5.85273,2,26,1,0.08
6.36867,2,28,1,0.09
6.40353,2,28,1,0.09
6.42411,2,28,1,0.09
6.39683,2,28,1,0.09
6.33121,2,28,1,0.09
9.15072,4,12,1,0.02
8.93957,4,12,1,0.02
8.85691,4,12,1,0.02
8.96552,4,12,1,0.02
8.92665,4,12,1,0.02
10.2152,4,14,1,0.04
10.2265,4,14,1,0.04
10.2114,4,14,1,0.04
10.3986,4,14,1,0.04
10.7566,4,14,1,0.04
11.6014,4,16,1,0.06
11.9705,4,16,1,0.06
11.7758,4,16,1,0.06
11.7584,4,16,1,0.06
12.0017,4,16,1,0.06
12.8846,4,18,1,0.08
12.8666,4,18,1,0.08
13.6887,4,18,1,0.08
13.1052,4,18,1,0.08
12.9846,4,18,1,0.08
14.0776,4,20,1,0.1
14.2498,4,20,1,0.1
14.4919,4,20,1,0.1
14.3564,4,20,1,0.1
14.5747,4,20,1,0.1
15.9747,4,22,1,0.12
17.5077,4,22,1,0.12
16.6472,4,22,1,0.12
16.8566,4,22,1,0.12
16.3877,4,22,1,0.12
17.6888,4,24,1,0.14
19.0168,4,24,1,0.14
19.3175,4,24,1,0.14
17.5253,4,24,1,0.14
17.0089,4,24,1,0.14
18.733,4,26,1,0.16
18.5594,4,26,1,0.16
19.0812,4,26,1,0.16
18.3,4,26,1,0.16
18.476,4,26,1,0.16
20.1643,4,28,1,0.18
19.7195,4,28,1,0.18
20.3038,4,28,1,0.18
19.9908,4,28,1,0.18
19.7997,4,28,1,0.18
11.7362,6,12,1,0.03
11.8407,6,12,1,0.03
11.8013,6,12,1,0.03
12.1983,6,12,1,0.03
12.1353,6,12,1,0.03
14.3046,6,14,1,0.06
13.6316,6,14,1,0.06
13.7697,6,14,1,0.06
13.4639,6,14,1,0.06
13.8708,6,14,1,0.06
15.7317,6,16,1,0.09
15.4314,6,16,1,0.09
15.4268,6,16,1,0.09
16.1039,6,16,1,0.09
15.7193,6,16,1,0.09
17.4305,6,18,1,0.12
17.5336,6,18,1,0.12
17.3893,6,18,1,0.12
17.5416,6,18,1,0.12
17.4304,6,18,1,0.12
19.1946,6,20,1,0.15
19.167,6,20,1,0.15
19.4276,6,20,1,0.15
19.7562,6,20,1,0.15
19.862,6,20,1,0.15
21.0285,6,22,1,0.18
21.2306,6,22,1,0.18
20.9464,6,22,1,0.18
21.2412,6,22,1,0.18
21.4235,6,22,1,0.18
23.8216,6,24,1,0.21
23.4816,6,24,1,0.21
23.1811,6,24,1,0.21
24.1038,6,24,1,0.21
23.6784,6,24,1,0.21
24.8384,6,26,1,0.24
25.7963,6,26,1,0.24
25.8553,6,26,1,0.24
25.8566,6,26,1,0.24
24.8773,6,26,1,0.24
27.8065,6,28,1,0.27
26.899,6,28,1,0.27
27.0384,6,28,1,0.27
28.0511,6,28,1,0.27
27.3922,6,28,1,0.27
12.8167,8,12,1,0.04
12.6937,8,12,1,0.04
12.608,8,12,1,0.04
13.4642,8,12,1,0.04
13.2637,8,12,1,0.04
15.0021,8,14,1,0.08
15.2329,8,14,1,0.08
14.7653,8,14,1,0.08
14.4402,8,14,1,0.08
14.6331,8,14,1,0.08
17.0775,8,16,1,0.12
17.5253,8,16,1,0.12
17.8095,8,16,1,0.12
17.0451,8,16,1,0.12
16.8258,8,16,1,0.12
19.8555,8,18,1,0.16
18.4274,8,18,1,0.16
18.687,8,18,1,0.16
19.0961,8,18,1,0.16
18.8256,8,18,1,0.16
20.6573,8,20,1,0.2
21.1358,8,20,1,0.2
24.0328,8,20,1,0.2
21.453,8,20,1,0.2
21.4244,8,20,1,0.2
23.3408,8,22,1,0.24
22.527,8,22,1,0.24
22.4393,8,22,1,0.24
23.6573,8,22,1,0.24
22.7573,8,22,1,0.24
24.5544,8,24,1,0.28
24.7577,8,24,1,0.28
24.944,8,24,1,0.28
24.8227,8,24,1,0.28
24.5885,8,24,1,0.28
30.5455,8,26,1,0.32
29.7288,8,26,1,0.32
27.2837,8,26,1,0.32
27.2002,8,26,1,0.32
27.4785,8,26,1,0.32
29.1856,8,28,1,0.36
29.4643,8,28,1,0.36
29.1653,8,28,1,0.36
28.7967,8,28,1,0.36
29.1033,8,28,1,0.36
14.066,10,12,1,0.05
14.4152,10,12,1,0.05
14.5498,10,12,1,0.05
14.1319,10,12,1,0.05
14.8234,10,12,1,0.05
16.7593,10,14,1,0.1
16.8689,10,14,1,0.1
16.3502,10,14,1,0.1
17.1748,10,14,1,0.1
17.281,10,14,1,0.1
18.2962,10,16,1,0.15
18.5891,10,16,1,0.15
18.6384,10,16,1,0.15
18.4913,10,16,1,0.15
18.755,10,16,1,0.15
20.7472,10,18,1,0.2
20.6302,10,18,1,0.2
20.8022,10,18,1,0.2
21.4644,10,18,1,0.2
21.2552,10,18,1,0.2
22.8323,10,20,1,0.25
23.4671,10,20,1,0.25
23.2141,10,20,1,0.25
23.2786,10,20,1,0.25
22.8337,10,20,1,0.25
24.5474,10,22,1,0.3
27.6542,10,22,1,0.3
30.3675,10,22,1,0.3
26.4524,10,22,1,0.3
24.83,10,22,1,0.3
27.2168,10,24,1,0.35
27.1518,10,24,1,0.35
28.0159,10,24,1,0.35
26.8339,10,24,1,0.35
27.6355,10,24,1,0.35
29.6157,10,26,1,0.4
31.1072,10,26,1,0.4
29.4828,10,26,1,0.4
29.8577,10,26,1,0.4
29.9148,10,26,1,0.4
31.358,10,28,1,0.45
31.9956,10,28,1,0.45
32.9016,10,28,1,0.45
31.2265,10,28,1,0.45
30.8938,10,28,1,0.45
15.2234,12,12,1,0.06
15.0673,12,12,1,0.06
15.99,12,12,1,0.06
15.686,12,12,1,0.06
15.2748,12,12,1,0.06
17.5693,12,14,1,0.12
17.8648,12,14,1,0.12
17.4184,12,14,1,0.12
17.5517,12,14,1,0.12
17.5815,12,14,1,0.12
20.7165,12,16,1,0.18
20.1127,12,16,1,0.18
21.3311,12,16,1,0.18
20.4379,12,16,1,0.18
19.9223,12,16,1,0.18
22.4629,12,18,1,0.24
22.8549,12,18,1,0.24
23.5671,12,18,1,0.24
23.6491,12,18,1,0.24
22.7236,12,18,1,0.24
24.7315,12,20,1,0.3
25.2105,12,20,1,0.3
25.3485,12,20,1,0.3
26.5723,12,20,1,0.3
25.1089,12,20,1,0.3
28.2733,12,22,1,0.36
27.5673,12,22,1,0.36
28.337,12,22,1,0.36
28.3567,12,22,1,0.36
27.2865,12,22,1,0.36
29.6127,12,24,1,0.42
29.6619,12,24,1,0.42
30.393,12,24,1,0.42
29.8346,12,24,1,0.42
30.525,12,24,1,0.42
32.0513,12,26,1,0.48
32.0585,12,26,1,0.48
32.3375,12,26,1,0.48
32.348,12,26,1,0.48
33.4953,12,26,1,0.48
34.8659,12,28,1,0.54
34.6418,12,28,1,0.54
34.4489,12,28,1,0.54
36.2664,12,28,1,0.54
35.1436,12,28,1,0.54
17.469,14,12,1,0.07
17.3987,14,12,1,0.07
17.8299,14,12,1,0.07
17.7532,14,12,1,0.07
17.4261,14,12,1,0.07
20.1481,14,14,1,0.14
21.759,14,14,1,0.14
20.0944,14,14,1,0.14
20.3566,14,14,1,0.14
20.6708,14,14,1,0.14
22.6705,14,16,1,0.21
23.2529,14,16,1,0.21
23.7938,14,16,1,0.21
22.92,14,16,1,0.21
22.6364,14,16,1,0.21
26.7317,14,18,1,0.28
26.7245,14,18,1,0.28
26.1181,14,18,1,0.28
25.5266,14,18,1,0.28
26.5143,14,18,1,0.28
29.2796,14,20,1,0.35
28.8113,14,20,1,0.35
29.0406,14,20,1,0.35
29.482,14,20,1,0.35
29.0438,14,20,1,0.35
31.2595,14,22,1,0.42
30.8796,14,22,1,0.42
31.1116,14,22,1,0.42
31.0841,14,22,1,0.42
32.1745,14,22,1,0.42
35.332,14,24,1,0.49
34.5891,14,24,1,0.49
38.2674,14,24,1,0.49
35.1757,14,24,1,0.49
34.4902,14,24,1,0.49
37.6411,14,26,1,0.56
37.3433,14,26,1,0.56
37.5642,14,26,1,0.56
37.1826,14,26,1,0.56
36.5639,14,26,1,0.56
40.7261,14,28,1,0.63
41.6236,14,28,1,0.63
40.2093,14,28,1,0.63
40.2622,14,28,1,0.63
40.5988,14,28,1,0.63
23.3563,16,12,1,0.08
22.9145,16,12,1,0.08
22.6258,16,12,1,0.08
22.5378,16,12,1,0.08
23.3792,16,12,1,0.08
28.146,16,14,1,0.16
25.8368,16,14,1,0.16
26.3607,16,14,1,0.16
26.1607,16,14,1,0.16
25.8523,16,14,1,0.16
31.2974,16,16,1,0.24
29.9614,16,16,1,0.24
29.6474,16,16,1,0.24
31.2889,16,16,1,0.24
29.0808,16,16,1,0.24
33.7594,16,18,1,0.32
32.9096,16,18,1,0.32
33.0488,16,18,1,0.32
34.7473,16,18,1,0.32
32.4355,16,18,1,0.32
36.3585,16,20,1,0.4
37.1276,16,20,1,0.4
37.1022,16,20,1,0.4
36.7223,16,20,1,0.4
37.1864,16,20,1,0.4
40.9633,16,22,1,0.48
41.7992,16,22,1,0.48
40.8264,16,22,1,0.48
39.9674,16,22,1,0.48
41.7448,16,22,1,0.48
43.6648,16,24,1,0.56
46.0275,16,24,1,0.56
44.3065,16,24,1,0.56
44.1156,16,24,1,0.56
45.1021,16,24,1,0.56
48.1532,16,26,1,0.64
