time,collision-num,trajectory-num,success,q
1.14288,0,12,1,0.0
1.4374,0,14,1,0.0
1.63355,0,16,1,0.0
2.01238,0,18,1,0.0
2.35672,0,20,1,0.0
2.55732,0,22,1,0.0
2.28726,0,24,1,0.0
2.54464,0,26,1,0.0
2.68977,0,28,1,0.0
2.71306,2,12,1,0.01
3.44809,2,14,1,0.02
4.01698,2,16,1,0.03
4.12224,2,18,1,0.04
4.51815,2,20,1,0.05
5.12297,2,22,1,0.06
5.35302,2,24,1,0.07
5.85983,2,26,1,0.08
6.38487,2,28,1,0.09
8.96787,4,12,1,0.02
10.3617,4,14,1,0.04
11.8216,4,16,1,0.06
13.1059,4,18,1,0.08
14.3501,4,20,1,0.1
16.6748,4,22,1,0.12
18.1115,4,24,1,0.14
18.6299,4,26,1,0.16
19.9956,4,28,1,0.18
11.9424,6,12,1,0.03
13.8081,6,14,1,0.06
15.6826,6,16,1,0.09
17.4651,6,18,1,0.12
19.4815,6,20,1,0.15
21.174,6,22,1,0.18
23.6533,6,24,1,0.21
25.4448,6,26,1,0.24
27.4374,6,28,1,0.27
12.9693,8,12,1,0.04
14.8147,8,14,1,0.08
17.2566,8,16,1,0.12
18.9783,8,18,1,0.16
21.7407,8,20,1,0.2
22.9443,8,22,1,0.24
24.7335,8,24,1,0.28
28.4473,8,26,1,0.32
29.143,8,28,1,0.36
14.3973,10,12,1,0.05
16.8868,10,14,1,0.1
18.554,10,16,1,0.15
20.9798,10,18,1,0.2
23.1252,10,20,1,0.25
26.7703,10,22,1,0.3
27.3708,10,24,1,0.35
29.9956,10,26,1,0.4
31.6751,10,28,1,0.45
15.4483,12,12,1,0.06
17.5971,12,14,1,0.12
20.5041,12,16,1,0.18
23.0515,12,18,1,0.24
25.3943,12,20,1,0.3
27.9642,12,22,1,0.36
30.0054,12,24,1,0.42
32.4581,12,26,1,0.48
35.0733,12,28,1,0.54
17.5754,14,12,1,0.07
20.6058,14,14,1,0.14
23.0547,14,16,1,0.21
26.323,14,18,1,0.28
29.1315,14,20,1,0.35
31.3019,14,22,1,0.42
35.5709,14,24,1,0.49
37.259,14,26,1,0.56
40.684,14,28,1,0.63
22.9627,16,12,1,0.08
26.4713,16,14,1,0.16
30.2552,16,16,1,0.24
33.3801,16,18,1,0.32
36.8994,16,20,1,0.4
41.0602,16,22,1,0.48
44.6433,16,24,1,0.56
47.9664,16,26,1,0.64
50.8304,16,28,1,0.72
24.5463,18,12,1,0.09
28.7128,18,14,1,0.18
33.0718,18,16,1,0.27
36.4942,18,18,1,0.36
40.4094,18,20,1,0.45
44.5422,18,22,1,0.54
49.2559,18,24,1,0.63
51.8584,18,26,1,0.72
56.6141,18,28,1,0.81
