time,collision-num,trajectory-num,success,q
2.71306,2,12,1,0.01
3.44809,2,14,1,0.02
4.01698,2,16,1,0.03
4.12224,2,18,1,0.04
4.51815,2,20,1,0.05
5.12297,2,22,1,0.06
5.35302,2,24,1,0.07
5.85983,2,26,1,0.08
6.38487,2,28,1,0.09
14.3501,4,20,1,0.1
16.6748,4,22,1,0.12
18.1115,4,24,1,0.14
18.554,10,16,1,0.15
18.6299,4,26,1,0.16
19.9956,4,28,1,0.18
20.9798,10,18,1,0.2
22.9443,8,22,1,0.24
23.1252,10,20,1,0.25
24.7335,8,24,1,0.28
25.3943,12,20,1,0.3
27.3708,10,24,1,0.35
27.9642,12,22,1,0.36
29.9956,10,26,1,0.4
30.0054,12,24,1,0.42
31.6751,10,28,1,0.45
32.4581,12,26,1,0.48
35.0733,12,28,1,0.54
37.259,14,26,1,0.56
40.684,14,28,1,0.63
47.9664,16,26,1,0.64
50.8304,16,28,1,0.72
56.6141,18,28,1,0.81
